Nanoseconds,Millivolts
557294725,999.9375
560075963,999.1875
563340325,1000.5
566511927,999.0
570139204,1000.125
575194652,999.1875
580568485,998.8125
584383938,999.75
587941059,999.9375
591698440,999.75
595142332,999.9375
598397475,999.375
601527775,998.4375
604600783,999.9375
607958686,998.625
616464329,999.5625
619473744,999.0
622808105,999.9375
626569184,999.9375
629950889,999.5625
632902127,1000.3125
636063937,998.625
639014602,1000.3125
642228444,1000.125
645240254,999.375
648398419,999.1875
651353719,999.0
654332509,999.375
657297028,999.5625
660841181,999.75
663809971,998.4375
667142978,999.375
670517964,999.0
673627744,999.5625
676674919,1000.6875
679669386,999.0
682518801,998.25
685285821,998.8125
688025237,1000.125
690757987,999.75
693966932,999.9375
696649265,999.5625
699386858,999.1875
702765699,1000.125
705571104,999.9375
708289166,999.1875
711113165,999.5625
713836227,999.1875
716604341,1000.125
719351048,997.875
722087443,999.75
724838370,999.75
727965909,999.5625
730702565,999.9375
733433335,999.5625
736867279,999.75
739595914,999.75
742326424,1000.125
745097402,999.5625
747839787,999.5625
750627380,1001.25
753367786,999.0
756149024,999.9375
758871409,998.25
761866085,999.0
764628261,999.75
767405906,999.5625
770770788,999.375
773498173,999.5625
776282068,999.375
778997526,1000.125
781741108,1000.125
784533909,999.375
787275305,999.9375
790011648,999.5625
792749189,1000.125
795618969,998.8125
798339010,999.0
801078426,1000.125
804482006,998.8125
807217776,999.375
809937713,1000.875
812668796,999.375
815419826,999.5625
818156742,999.375
820942200,999.1875
823680834,1000.3125
826450354,999.1875
829298312,1000.125
832026061,999.1875
834824279,999.9375
838182703,998.4375
840919671,1000.125
843641691,999.75
846392722,1000.6875
849123284,999.0
851848064,999.5625
854664042,999.1875
857401427,1000.125
860202458,999.0
863019582,999.75
865778529,999.375
868499455,1000.125
871868817,998.4375
874614899,999.75
877410305,998.8125
879898784,999.375
882380701,1000.6875
884883764,1000.125
887528962,999.375
890279315,999.1875
892738940,1000.5
895250232,998.8125
898370584,999.5625
900854429,999.75
903828375,1000.3125
907011122,998.625
909642987,1002.0
912785266,999.75
915695827,999.0
918606700,1000.5
921343616,999.75
924421208,999.0
927199739,1000.6875
929911342,999.1875
933010861,999.375
935760433,999.5625
938844327,999.5625
941545045,1000.6875
944285347,1000.5
946981534,999.5625
949676835,999.5625
952375314,998.625
955097386,1001.25
957786490,998.625
960577104,999.5625
963593237,999.5625
966713068,998.8125
969383162,1000.5
972217004,999.75
974727515,999.5625
977170786,999.1875
979628068,998.625
982085454,999.75
984557527,1000.3125
987009653,999.375
989453341,999.1875
991918018,999.75
994410196,999.5625
996841280,999.75
999709810,1000.5
1002274279,999.5625
1005288798,1000.6875
1007746548,999.9375
1010191434,999.5625
1012645955,999.1875
1015110060,999.5625
1017558644,1000.5
1020009155,999.75
1022457062,999.375
1024919500,998.25
1027399125,999.5625
1029854896,999.5625
1032940873,998.8125
1035897163,999.1875
1039003818,999.375
1041639015,999.75
1044138120,999.1875
1046559360,999.75
1049017735,999.5625
1051467882,998.8125
1053953757,999.1875
1056386976,999.75
1058834258,1000.5
1061302061,998.625
1063823040,1000.125
1067763128,999.9375
1071556707,999.375
1077203455,999.0
1079895267,999.375
1082557704,999.75
1085257068,998.625
1087935026,999.1875
1090602880,999.5625
1093264692,998.4375
1095944421,1000.125
1098701805,999.375
1102104708,999.375
1105465736,998.8125
1108499422,999.75
1111176703,1000.875
1113829921,1000.125
1116589077,999.75
1119253285,999.5625
1121916086,999.5625
1124588784,999.75
1127253669,999.5625
1129916835,999.375
1132608960,998.4375
1135928998,999.5625
1138937736,999.0
1141714860,999.5625
1144580630,999.75
1147233223,999.75
1149883734,1000.125
1152539035,999.5625
1155216108,999.75
1157880368,1000.125
1160934262,999.0
1163531178,999.75
1166324709,999.9375
1169630060,998.8125
1172381559,999.75
1175197642,999.5625
1177863152,999.75
1180526110,999.75
1183189849,999.375
1185869369,998.4375
1188523838,1000.125
1191192837,999.375
1193854649,999.5625
1196529430,999.5625
1199261034,999.5625
1202236438,999.0
1204948667,999.1875
1207630583,999.0
1210743123,1000.125
1213419674,998.8125
1216121955,999.0
1218782205,1000.125
1221443080,999.75
1224143694,999.5625
1226813474,999.1875
1229471901,998.25
1232146838,999.0
1234911619,999.0
1237912232,999.75
1240580346,1002.5625
1243393980,999.0
1246450010,998.25
1249369373,998.8125
1252277851,999.375
1255202891,1001.0625
1258101212,998.8125
1261067346,999.75
1263976553,999.5625
1266855865,1000.6875
1270142362,999.75
1273047454,999.5625
1275982078,999.0
1279349668,999.1875
1282283563,999.5625
1285205530,999.5625
1288119945,999.5625
1291028163,999.1875
1293997630,999.9375
1296874024,999.0
1299769065,1001.0625
1302676345,999.0
1305731489,1000.5
1308630123,1001.0625
1311721673,999.5625
1314773379,999.0
1317687586,999.5625
1320590647,1000.125
1323486833,999.0
1326441717,999.375
1329337070,999.1875
1332261798,998.25
1335186317,999.0
1338478231,998.8125
1341379990,998.25
1344303468,999.0
1347597934,998.8125
1350572818,1001.0625
1353506191,999.75
1356469460,999.375
1359386376,998.8125
1362333030,999.0
1365262341,1000.125
1368164934,999.1875
1371143828,999.375
1374407982,999.75
1377317866,999.1875
1380611290,998.8125
1385074605,999.375
1387235065,999.5625
1389656045,1000.875
1392035931,999.5625
1394484359,998.8125
1396887995,999.5625
1399295589,999.375
1401697454,999.375
1404149736,998.25
1407175349,999.9375
1409579662,998.625
1411994392,999.9375
1414813964,999.5625
1417217392,999.375
1419637955,999.5625
1422031018,998.8125
1424501164,1000.125
1426916832,999.375
1429321041,1000.125
1431723531,999.9375
1434146386,999.5625
1436550699,999.5625
1439580791,999.5625
1441984323,1002.0
1444402907,998.8125
1447185083,999.375
1449590959,998.4375
1452013241,999.5625
1454418022,1000.125
1456817648,999.375
1459223003,999.5625
1461692837,999.5625
1464153973,998.4375
1466561880,1000.875
1468965307,999.5625
1471374568,998.8125
1474418879,1000.5
1476815015,998.25
1479225110,999.1875
1482026192,999.75
1484490036,1000.125
1486886902,999.5625
1489291944,999.5625
1491699590,998.4375
1494141508,999.5625
1496536237,999.75
1498942999,999.0
1501383249,999.75
1503795791,999.0
1506836040,1000.5
1509594049,1000.125
1512008519,998.25
1515066683,999.75
1517502246,999.375
1519907966,999.0
1522307592,1000.3125
1524741436,999.5625
1527159968,1001.4375
1529545739,999.5625
1531947448,998.625
1534378480,999.5625
1536825189,999.75
1540493143,999.1875
1543262246,999.9375
1545694007,998.8125
1548728110,999.5625
1551163569,999.75
1553551996,999.9375
1555971674,999.75
1558371717,999.375
1564362317,999.1875
1570395626,1000.125
1578357000,1000.6875
1581741309,1000.125
1585907803,999.0
1589268102,999.5625
1592412516,999.375
1595897138,999.0
1598842386,999.375
1602457840,999.0
1605328193,1000.5
1609319792,998.8125
1612238374,999.5625
1615033727,1001.8125
1618072100,999.9375
1620745370,1000.125
1623409370,999.75
1626430868,999.5625
1629345804,1000.6875
1632460271,1000.125
1635559477,999.5625
1638641548,998.25
1641440183,998.8125
1644116474,998.8125
1646731828,998.25
1649808899,1000.125
1653090656,999.5625
1655742312,999.5625
1658367614,999.9375
1660987083,999.9375
1663609728,999.0
1666253311,999.1875
1668866582,998.4375
1671959226,999.375
1674623017,999.1875
1677229257,999.0
1679858100,998.625
1682593454,998.4375
1685670577,999.5625
1688303639,1000.5
1690923941,998.625
1693544607,999.75
1696213294,999.375
1698830836,999.0
1701456346,998.8125
1704117585,999.9375
1706771533,999.1875
1709419335,1000.125
1712037657,999.9375
1715049781,998.25
1718061487,999.1875
1720694081,999.375
1723313549,998.625
1725988747,1000.3125
1728611444,999.1875
1731227423,999.375
1733845538,1000.125
1736486048,999.75
1739098642,1000.6875
1742141546,1000.5
1744818827,998.8125
1747430900,998.25
1750165368,999.1875
1753188116,999.75
1755825709,999.375
1758442001,999.1875
1761067303,999.9375
1763687032,999.9375
1766331917,998.8125
1768949354,999.75
1771567364,999.0
1774201989,1000.5
1776842656,1000.125
1779831081,998.4375
1782832736,999.1875
1785862098,999.5625
1788487661,999.375
1791110410,1000.3125
1793728941,1000.3125
1796376222,999.1875
1798988087,999.5625
1801608962,999.375
1804242909,999.0
1806865763,999.0
1809488096,999.0
1812123086,999.0
1814750836,999.0
1817487595,999.75
1820537114,1000.125
1823167416,998.625
1825812041,999.5625
1828430728,999.75
1831053218,999.375
1833673259,999.375
1836314707,999.75
1838924279,998.4375
1841544373,998.0625
1844172123,999.1875
1846819248,999.5625
1849426320,999.0
1852414746,1000.125
1855922700,998.8125
1858559773,999.75
1861183877,999.75
1863812773,998.625
1866467606,997.3125
1869085355,999.375
1871722220,999.375
1874356740,999.0
1876974021,998.0625
1879748125,998.8125
1882398270,1000.5
1885133884,999.9375
1888123039,999.9375
1890756518,998.625
1893396663,999.375
1896100142,999.1875
1898715861,1000.125
1901339860,998.8125
1904017349,999.375
1906599891,999.375
1909209933,999.375
1911819974,998.0625
1914455224,1000.3125
1917472139,998.8125
1920110566,999.375
1923381282,999.9375
1926131323,999.5625
1928761156,998.4375
1931382760,999.375
1934050457,1001.0625
1936637634,1000.125
1939257728,999.1875
1941878498,998.25
1944506665,998.8125
1947125144,999.75
1949760550,997.875
1952479028,1000.3125
1955499641,999.75
1958136297,1000.125
1960762172,999.75
1963418359,999.75
1966116994,999.0
1968746515,999.1875
1971370202,999.9375
1974032066,999.1875
1976626222,998.8125
1979248451,999.75
1981870680,1000.125
1984896866,999.75
1987452168,999.9375
1990716009,1000.125
1993358446,999.75
1996032915,999.5625
1998646342,999.9375
2001584767,998.8125
2004242829,998.4375
2006863861,999.75
2009486037,999.5625
2012101183,999.5625
2014755547,999.1875
2017385016,999.75
2020376254,999.5625
2023100097,999.375
2025750399,999.0
2028362888,999.5625
2030976992,998.4375
2033602450,999.75
2036542490,999.5625
2039189615,999.75
2041812365,999.1875
2044438188,999.375
2047061250,998.0625
2049679208,998.8125
2052649821,1000.125
2055320748,999.75
2058586672,1000.125
2061211141,999.0
2063834776,999.0
