Nanoseconds,mV_V
1324340939,-0.00222959
1332386409,-0.00193436
1337831287,-0.00210293
1345817539,-0.00179559
1353834885,-0.00210293
1373611559,-0.00207126
1375031124,-0.00218488
1377778016,-0.0019921
1393801666,-0.00193436
1401733231,-0.00176765
1409699848,-0.00230782
1417686204,-0.00179932
1425677821,-0.00220817
1433676156,-0.00181887
1441675481,-0.00247266
1449680379,-0.00161212
1457678349,-0.00232924
1465683455,-0.00178628
1473680593,-0.00287127
1481680855,-0.00151992
1497679557,-0.00236556
1505682684,-0.00118557
1513684561,-0.00256486
1521749614,-0.00155624
1529713522,-0.00309013
1537694514,-0.00135414
1545693891,-0.00258535
1553705768,-0.00113901
1561704207,-0.00280142
1569698845,-0.00133459
1577695409,-0.00266172
1585695724,-0.0014687
1593695309,-0.00287499
1601698800,-0.00144448
1609697656,-0.00267755
1617697763,-0.00117533
1625697139,-0.0027502
1633695891,-0.00140443
1641698758,-0.00266265
1649699697,-0.00131968
1657702616,-0.00285357
1668821797,-0.0016233
1673782723,-0.00291038
1681825120,-0.00159256
1689738404,-0.00276417
1697718511,-0.00146031
1705711794,-0.00265427
1713716900,-0.00165217
1721719923,-0.0026999
1729713675,-0.00160094
1737712114,-0.00244752
1745711491,-0.00167731
1753715764,-0.00262447
1761718161,-0.00169594
1769733788,-0.00262074
1777717436,-0.00193436
1793714419,-0.00252575
1801729369,-0.00192225
1809727392,-0.00221375
1817830205,-0.00200048
1825746979,-0.00218023
1833734012,-0.00198185
1841729743,-0.00254624
1849727037,-0.00191201
1857734018,-0.00247639
1865728968,-0.0019595
1873726261,-0.00238139
1881728242,-0.00192598
1889824285,-0.00254251
1897767048,-0.00211876
1905762935,-0.00241399
1913742260,-0.00209175
1921737887,-0.00240561
1929737524,-0.0020247
1937737110,-0.00256114
1945737320,-0.00204705
1953821175,-0.00243913
1961768990,-0.00178535
1969756492,-0.00217091
1977745453,-0.00207312
1985752329,-0.0022836
1993746394,-0.00209268
2001744781,-0.00235531
2009746398,-0.00203773
2017745931,-0.00235345
2025751454,-0.00221841
2033746143,-0.00252109
2041747239,-0.00218488
2049760938,-0.0016978
2057929532,-0.00198558
2065811567,-0.00198931
2073771048,-0.00257976
2081760269,-0.00178162
2089757094,-0.00271108
2105754806,-0.00168663
2113760433,-0.00228733
2121760643,-0.00160933
2129769135,-0.00268687
2137766116,-0.00183005
2145764139,-0.00264402
2153760182,-0.00137929
2161768830,-0.00269432
2169796800,-0.00131503
2177778886,-0.00277534
2185772846,-0.00153854
2193771702,-0.00313018
2201769933,-0.00159815
2209767071,-0.00276882
2217781083,-0.00132713
2225775720,-0.00285078
2233771816,-0.00157394
2241773380,-0.00291038
2249783747,-0.00154041
2257777394,-0.00300072
2265777501,-0.00144448
2273776044,-0.00287686
2281777192,-0.00169314
2289781673,-0.002997
2297780321,-0.00151526
2305792093,-0.00288244
2313787512,-0.00167079
2321785847,-0.00256207
2329786474,-0.00139698
2337784914,-0.00266451
2345785176,-0.0017602
2353784657,-0.00257418
2361792055,-0.00164472
2369791588,-0.00255555
2377790652,-0.00137556
2385789665,-0.00243541
2393787531,-0.0017425
2401790398,-0.00232458
2417791860,-0.00173692
2425793893,-0.00241306
2433793582,-0.0019446
2441795511,-0.00206009
2449799367,-0.00198837
2457806088,-0.00236463
2465803850,-0.00199117
2473800779,-0.00229664
2481802083,-0.00173878
2489804273,-0.00201445
2497803650,-0.00178162
2505801881,-0.00225753
2513804226,-0.00201073
2521859280,-0.00205636
2529828397,-0.00193808
2537813295,-0.00224356
2545809599,-0.0016233
2553818715,-0.00220723
2561820800,-0.00160187
2569816688,-0.00219978
2577814502,-0.00155997
2585812629,-0.00198092
2593816068,-0.00208803
2601815497,-0.00218581
2609817583,-0.00191759
2617818210,-0.00181608
2625816909,-0.00186916
2633817016,-0.0019446
2641819361,-0.00246242
2649821030,-0.0018673
2657824417,-0.00207126
2665850356,-0.00160467
2673866608,-0.00208057
2681841350,-0.00178162
2689831248,-0.00232458
2697829947,-0.0015907
2705827918,-0.00246614
2721834172,-0.00161957
2729834330,-0.00224728
2737830113,-0.00137091
2745831365,-0.00275765
2753831575,-0.00174902
2761833973,-0.00253133
2769836058,-0.00143331
2777840800,-0.00274554
2785836531,-0.00132248
2793836689,-0.00283588
2801848097,-0.00139326
2809847422,-0.00304915
2817843466,-0.00152364
2825841905,-0.00287127
2833839824,-0.00128523
2841842586,-0.00267569
2849844880,-0.00140443
2857847434,-0.00288431
2865848113,-0.00155158
2873846083,-0.00289921
2881846710,-0.00136718
2889849316,-0.0028247
2897850047,-0.00152923
2905856091,-0.00260118
2913851301,-0.00140443
2921852553,-0.002685
2929867138,-0.0016531
2937856984,-0.00264402
2945855840,-0.00142027
2953855269,-0.0026552
2961876104,-0.00168104
2969869179,-0.002563
2977864077,-0.0017425
2989214661,-0.0025183
2993887466,-0.00160467
3001876114,-0.00241306
3009876168,-0.00194088
3025869453,-0.00260677
3033868621,-0.00174902
3041870394,-0.00244472
3049879511,-0.00176579
3057903783,-0.00248011
3065886441,-0.00195298
3073878423,-0.00237208
3081875195,-0.00216253
3089879208,-0.00222307
3097878949,-0.0017155
3105876555,-0.00230689
3113879109,-0.0019297
3121880934,-0.00225846
3129884998,-0.00191946
3137882136,-0.00242516
3145880419,-0.00211317
3153880785,-0.00219885
3161889850,-0.00190735
3169889227,-0.00223983
3177908812,-0.00187289
3185901574,-0.00232551
3193890066,-0.00169314
3201891057,-0.00236277
3209893090,-0.0020396
3217898561,-0.002129
3225893563,-0.00183471
3233889867,-0.00204705
3241894817,-0.00194926
3249900600,-0.00192504
3257896071,-0.00236463
3265898260,-0.00216905
3273898210,-0.00188779
3281897951,-0.00143331
3289898474,-0.00244845
3297898059,-0.00157859
3305907905,-0.0023488
3313909469,-0.00186637
3321907076,-0.00249874
3329904994,-0.00142213
3337905361,-0.00272412
3353901979,-0.00158232
3361908023,-0.0027772
3369909691,-0.00151992
3377909276,-0.00301935
3385909278,-0.00161491
3393910582,-0.00255927
3401913501,-0.00121258
3409912253,-0.00277255
3417915848,-0.00138395
3425920955,-0.00295322
3433915748,-0.00132062
3441916115,-0.00278279
3449917367,-0.00125449
3457918202,-0.00284892
3465921433,-0.00138208
3473922112,-0.00287499
3481921333,-0.00153109
3489922845,-0.00281073
3497922586,-0.00133459
3505924515,-0.00293087
3513925038,-0.00147428
3521929884,-0.00280607
3529931604,-0.00170898
3537927700,-0.0028247
3545929212,-0.00165496
3553935933,-0.00254717
3561937445,-0.00154786
3569935104,-0.00244379
3577932710,-0.00156276
3585931618,-0.00250712
3593931672,-0.00178162
3601933184,-0.00241678
3609934957,-0.00190083
3617940792,-0.00231899
3625938711,-0.00174902
3633939129,-0.00232458
3649940175,-0.0016829
3657941166,-0.0022063
3665956324,-0.00190269
3673949087,-0.00211317
3681979817,-0.00197906
3689959299,-0.00238791
3697969665,-0.00198837
3705954563,-0.00236835
3713952950,-0.0019623
3721957327,-0.00227429
3729955819,-0.00188407
3737954362,-0.00238884
3745953791,-0.00186358
3753951814,-0.00231713
3762025617,-0.0020545
3769982547,-0.00250898
3777979268,-0.00199303
3785964790,-0.00229292
3793960313,-0.00215881
3801974169,-0.00216998
3809968755,-0.00193249
3817974902,-0.00244379
3825966779,-0.00187848
3833962615,-0.00231899
3841965585,-0.00206567
3849968608,-0.00237767
3857967412,-0.00177138
3865971112,-0.00230223
3873967728,-0.00216253
3881970491,-0.00240654
3889970909,-0.00198092
3897970755,-0.00209734
3905972267,-0.00200421
3913973727,-0.00207126
3921990760,-0.00254251
3929978210,-0.00198931
3945975193,-0.00220351
3953976758,-0.00167545
3961981187,-0.00247359
3969982543,-0.00175089
3977981711,-0.00245962
3985980932,-0.00160001
3993980882,-0.00244007
4001980988,-0.00129826
4009987084,-0.00284147
4017988023,-0.00125635
4025987400,-0.00286195
4033986777,-0.00149384
4041988133,-0.00275392
4049995635,-0.00135973
4061545435,-0.0028722
4066096419,-0.00117067
4074025015,-0.00294391
4082013663,-0.00142399
4090003665,-0.00292901
4098001584,-0.00151619
4105997315,-0.00270549
4114002681,-0.0013411
4122000808,-0.00291783
4130005029,-0.00153389
4138001177,-0.00296533
4146000554,-0.00139419
4154002066,-0.00273436
4162011964,-0.00154879
4170008893,-0.00294019
4178005405,-0.00156369
4186039156,-0.00272319
4194018169,-0.00171084
4210010308,-0.00271574
4218082393,-0.0015609
4226076093,-0.00256579
4234062449,-0.00163447
4242062815,-0.00279956
4250072348,-0.0017304
4258065423,-0.00250153
4266068654,-0.00176951
4274065011,-0.00248011
4282064700,-0.00178162
4290064598,-0.00252854
4298065850,-0.00198651
4306084706,-0.00220444
4314078093,-0.00199955
4322095491,-0.00256207
4330077159,-0.00208523
4338072734,-0.00232831
4346071382,-0.00205636
4354071228,-0.00210665
4362131906,-0.0020694
4370076961,-0.00221934
4378075608,-0.00185892
4386078110,-0.00233576
4394075873,-0.00181887
4402077489,-0.00238698
4410080564,-0.00194553
4418080722,-0.00229664
4426081297,-0.00206381
4434081195,-0.00238698
4442089009,-0.00196695
4450085365,-0.00227056
4458084794,-0.00173133
4466091098,-0.00220723
4474088079,-0.00158325
4482088914,-0.00210851
4490089229,-0.00176672
4506087149,-0.00236835
4514088193,-0.00198837
4522095539,-0.00203773
4530095280,-0.00202563
4538094917,-0.00235438
4546098669,-0.00181515
4554109921,-0.00196323
4562102579,-0.00183471
4570106852,-0.00154786
4578102062,-0.00191387
4586100189,-0.00184402
4594099254,-0.00226963
4602101183,-0.00178628
4610102955,-0.00223611
4618109416,-0.00160746
4626105199,-0.00208523
4634103326,-0.00151992
4642112234,-0.00250526
4650110725,-0.00151899
4658109321,-0.00211317
4666120208,-0.00108965
4674115158,-0.00266079
4682152243,-0.00119675
4690149797,-0.00267569
4698123497,-0.00122841
4706118082,-0.00259187
4714113345,-0.00124332
4722128295,-0.00280607
4730122619,-0.00128616
4738123403,-0.0026729
4746119915,-0.00131596
4754120073,-0.00281725
4762122158,-0.00122283
4770132837,-0.00262726
4778128777,-0.00118557
4786125862,-0.00265706
4794123364,-0.00135228
4802140397,-0.00254437
4818132536,-0.00127498
4826131757,-0.00249874
4834227279,-0.00153016
4842139052,-0.00235159
4850136242,-0.00143889
4858136504,-0.00256486
4866136558,-0.00150409
4874170310,-0.00260863
4882135052,-0.00140723
4890139116,-0.00221003
4898137555,-0.00141654
4906136568,-0.00226684
4914229589,-0.00181235
4922158655,-0.00216998
4930149386,-0.00150781
4938145794,-0.00216719
4946143192,-0.00173133
4954180068,-0.00199862
4962139237,-0.00199117
4970149291,-0.00215974
4978148668,-0.00164751
4986148410,-0.0020396
4994183776,-0.00178814
5002154247,-0.00227056
5010155395,-0.00183284
5018153522,-0.00236649
5026155242,-0.00167359
5034247430,-0.00226591
5042203995,-0.00170432
5050212747,-0.00203028
5058195406,-0.00176299
5066174679,-0.00207871
5074223690,-0.00175834
5082164474,-0.00227615
5090165830,-0.00177044
5098165832,-0.00200607
5106163074,-0.0019446
5122175317,-0.00218488
5130174538,-0.00181235
5138168967,-0.00191759
5146169281,-0.00193436
5154198397,-0.00204705
5162172306,-0.00189152
5170174495,-0.00217091
5178210903,-0.00187848
5186223665,-0.00152923
